number,opened_at,short_description,caller_id,priority,state,category,assignment_group,assigned_to,sys_updated_on,sys_updated_by
INC0057226,3/21/2025 10:01,null,Alex,4 - Low,Resolved,Inquiry / Help,1group,Jack,3/21/2025 10:04,system
INC0057228,3/21/2025 10:22,null,Alex,4 - Low,Resolved,Software,1group,Kim,3/21/2025 10:36,system
INC0057230,3/21/2025 11:00,null,Alex,4 - Low,Resolved,Inquiry / Help,1group,Jack,3/21/2025 11:02,system
INC0057231,3/21/2025 11:44,null,Alex,3 - Moderate,Resolved,Software,1group,Jack,3/21/2025 11:57,system
INC0057235,3/21/2025 12:44,null,Alex,3 - Moderate,In Progress,Software,1group,Kim,3/21/2025 13:35,system
INC0057236,3/21/2025 13:09,null,Alex,4 - Low,Resolved,Software,1group,Jack,3/21/2025 15:12,system
INC0057237,3/21/2025 13:20,null,Alex,4 - Low,In Progress,eAdvantage (member),1group,Jack,3/24/2025 6:48,system
INC0057238,3/21/2025 13:32,null,Alex,4 - Low,Resolved,Software,1group,Kim,3/21/2025 14:25,system
INC0057239,3/21/2025 13:32,null,Alex,4 - Low,Resolved,Software,1group,Jack,3/21/2025 13:48,system
INC0057242,3/21/2025 14:50,null,Alex,3 - Moderate,Resolved,Software,1group,Jack,3/21/2025 14:51,system
INC0057244,3/21/2025 15:06,null,Alex,3 - Moderate,In Progress,Software,1group,Kim,3/24/2025 8:07,system
INC0057245,3/21/2025 15:51,null,Alex,4 - Low,Resolved,Hardware,1group,Jack,3/21/2025 16:06,system
INC0057247,3/22/2025 8:33,null,Alex,3 - Moderate,Resolved,Software,1group,Jack,3/22/2025 8:37,system
INC0057252,3/23/2025 19:54,null,Alex,4 - Low,On Hold,Hardware,1group,Kim,3/24/2025 13:19,system
INC0057088,3/17/2025 14:09,null,Alex,2 - High,Resolved,Software,1group,Jack,3/19/2025 9:36,system
